City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,25,12,18,0.4,7,45,49,9
阿克苏地区,96,46,140,0.55,10,67,44,5
阿拉善盟,45,17,21,0.53,10,88,89,12
阿勒泰地区,30,21,0,0.85,31,22,25,5
阿里地区,34,15,0,0.5,11,69,66,5
安康,57,28,62,0.53,38,16,23,23
安庆,75,43,98,0.64,65,30,37,6
鞍山,70,17,87,1.61,31,49,61,19
安顺,88,65,84,1.38,52,4,15,99
安阳,86,9,120,0.4,21,51,42,12
白城,41,16,23,0.2,6,75,80,11
百色,50,35,47,0.75,23,4,9,6
白山,63,12,74,0.75,8,72,77,3
白银,38,20,37,0.65,32,35,36,17
保定,40,12,29,0.32,18,70,79,4
宝鸡,55,25,57,0.84,38,25,25,13
保山,41,27,40,0.5,9,61,76,5
包头,32,19,31,0.83,31,36,57,14
巴彦淖尔,30,21,28,0.83,24,41,54,11
巴中,59,37,65,0.53,26,48,41,4
北海,82,60,46,1.18,21,32,49,6
北京,34,5,26,0.3,19,52,67,2
蚌埠,85,42,117,0.58,41,47,42,20
本溪,74,14,96,0.58,20,58,71,14
毕节,88,65,95,1.0,33,4,6,12
滨州,63,11,73,0.73,28,54,52,13
博州,33,21,28,0.5,10,63,64,4
亳州,69,36,85,0.5,39,32,40,11
沧州,40,20,39,0.3,26,60,67,11
长春,46,15,45,0.47,22,49,57,10
常德,89,66,91,1.04,36,33,36,10
昌都,19,7,13,0.8,8,36,37,3
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,61,43,46,0.7,22,42,48,7
长沙,75,54,82,0.93,61,12,14,7
常熟,101,73,150,1.03,97,27,18,27
长治,61,27,70,1.1,62,21,43,24
常州,92,67,131,1.63,65,18,15,18
朝阳,38,13,23,0.7,19,58,74,11
潮州,64,45,53,0.83,19,15,16,10
承德,35,16,33,0.46,30,37,68,7
成都,96,71,127,0.94,71,27,36,10
郴州,57,39,61,0.96,28,7,10,7
赤峰,35,13,34,0.78,39,29,61,30
池州,56,33,60,0.9,55,28,31,7
重庆,75,54,89,1.0,60,29,31,7
崇左,59,39,66,0.8,22,6,5,4
楚雄州,50,35,46,0.7,21,64,73,13
滁州,88,52,123,0.53,35,55,65,9
大连,56,13,59,0.34,17,64,73,8
大理州,43,28,40,0.7,13,80,85,5
丹东,59,15,65,0.43,16,64,72,10
大庆,39,11,22,0.32,14,71,76,5
大同,33,12,32,1.98,38,23,54,36
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,40,17,23,0.3,11,78,79,21
达州,94,70,98,0.84,54,46,47,8
德宏州,56,39,59,0.8,39,8,31,10
德阳,96,71,95,0.83,57,29,34,5
德州,39,6,38,0.4,25,55,59,8
定西,65,36,77,1.35,38,6,8,26
迪庆州,33,17,19,0.65,7,51,65,8
东莞,100,75,97,1.26,61,3,3,18
东营,63,10,73,0.2,9,73,69,5
鄂尔多斯,28,8,21,0.62,25,47,54,13
恩施州,66,47,78,1.0,29,6,6,3
鄂州,87,58,122,1.07,46,58,74,7
防城港,69,49,67,1.23,26,19,35,5
佛山,93,65,134,1.74,76,3,8,13
抚顺,83,14,113,0.38,18,56,70,9
阜新,44,16,43,0.36,14,57,67,23
阜阳,76,43,100,0.57,34,54,69,8
富阳,0,0,0,0.0,0,0,0,0
福州,54,36,55,0.65,32,38,38,4
抚州,81,59,81,0.94,21,34,31,8
甘南州,59,24,66,0.9,28,42,47,3
赣州,56,36,60,1.22,24,19,28,5
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,17,11,16,0.3,11,38,33,18
广安,76,55,73,0.88,23,46,34,20
广元,53,31,54,0.63,36,17,20,13
广州,88,65,102,1.37,77,4,4,9
贵港,75,54,81,1.05,37,17,26,11
桂林,66,47,64,0.83,35,27,47,8
贵阳,93,69,117,1.06,40,5,7,21
果洛州,31,19,30,1.3,12,39,40,29
固原,72,26,92,1.17,62,14,21,11
哈尔滨,29,13,28,0.62,19,51,56,19
海北州,32,6,13,0.3,14,57,63,8
海东地区,54,36,55,0.6,55,0,1,14
海口,32,22,27,0.84,12,60,49,5
海门,39,20,38,0.6,19,33,42,6
海南州,33,19,32,1.0,32,36,48,9
海西州,46,8,29,0.2,16,92,90,5
哈密地区,45,11,44,1.35,52,23,52,5
邯郸,60,19,67,0.35,17,56,45,4
杭州,71,32,90,0.76,58,11,19,8
汉中,60,36,67,1.08,28,25,24,8
鹤壁,85,23,117,0.37,7,53,50,9
河池,64,45,63,0.73,22,6,8,6
合肥,75,41,98,0.74,59,29,19,7
鹤岗,59,41,59,0.65,22,41,48,10
黑河,39,10,27,0.43,4,72,76,8
衡水,48,18,47,0.4,23,50,56,8
衡阳,88,65,81,1.25,51,12,20,15
和田地区,116,40,180,0.3,9,66,65,23
河源,60,42,56,1.1,38,18,18,10
菏泽,168,24,283,0.53,16,54,43,6
贺州,43,30,41,0.7,21,2,10,7
红河州,58,40,49,0.67,6,89,87,10
淮安,91,42,130,1.02,48,32,34,16
淮北,69,36,85,0.6,46,30,39,31
怀化,75,53,97,0.66,29,8,9,3
淮南,85,46,117,0.45,26,58,64,12
黄冈,84,50,115,0.85,54,12,48,3
黄南州,40,16,39,0.6,6,62,68,6
黄山,60,42,68,0.6,23,19,29,7
黄石,96,65,139,1.62,59,40,42,26
呼和浩特,27,9,26,0.93,45,23,50,14
惠州,54,37,45,0.84,39,8,11,12
葫芦岛,36,21,35,0.7,40,42,69,25
呼伦贝尔,34,18,23,0.35,5,65,67,3
湖州,83,61,110,0.91,86,24,32,15
佳木斯,111,83,93,0.98,43,18,23,9
吉安,76,55,85,0.73,39,28,25,31
江门,86,63,97,1.53,63,3,3,7
江阴,112,82,172,2.53,86,10,8,16
胶南,80,50,108,0.9,69,18,38,13
胶州,0,0,0,0.0,0,0,0,0
焦作,77,42,101,0.73,34,69,68,25
嘉兴,115,78,177,0.87,84,11,20,17
嘉峪关,37,14,36,0.35,28,57,63,6
揭阳,81,59,78,1.3,58,6,24,22
吉林,60,8,67,0.46,10,60,68,7
即墨,83,32,114,0.65,35,44,28,9
济南,52,11,51,0.34,29,56,51,8
金昌,50,20,49,0.77,29,41,47,27
晋城,75,25,97,1.48,50,33,52,27
景德镇,74,53,87,0.8,29,6,8,9
荆门,78,44,103,0.98,48,44,65,10
荆州,95,53,138,1.13,58,12,8,31
金华,77,56,85,0.9,64,3,15,13
济宁,91,27,130,0.7,43,32,28,12
金坛,111,83,152,1.0,50,35,50,17
晋中,34,14,33,0.53,22,59,66,13
锦州,40,18,39,0.76,37,41,58,36
九江,73,35,94,0.38,47,38,43,8
酒泉,29,15,26,0.5,21,49,56,14
鸡西,117,88,136,1.58,33,22,13,18
句容,114,80,175,1.15,70,14,10,10
开封,104,30,156,0.9,41,33,51,13
喀什地区,126,71,199,1.0,34,34,15,11
克拉玛依,48,29,47,0.82,13,64,67,3
克州,96,27,139,0.4,17,66,64,6
库尔勒,85,27,117,0.63,11,96,91,6
昆明,59,38,66,1.24,50,38,39,14
昆山,137,104,188,1.3,79,8,5,12
来宾,94,70,125,1.0,42,3,9,8
莱芜,88,65,99,0.67,18,89,77,10
莱西,92,19,131,0.3,13,62,52,6
莱州,0,0,0,0.0,0,0,0,0
廊坊,40,21,39,0.43,27,65,78,3
兰州,68,28,84,1.12,48,28,25,19
拉萨,32,6,16,0.56,19,54,62,4
乐山,63,44,51,1.12,35,36,37,6
凉山州,36,23,34,0.76,20,59,71,26
连云港,76,49,100,0.86,49,40,46,15
聊城,41,6,40,0.4,19,57,54,7
辽阳,66,25,80,0.6,24,43,58,22
辽源,51,11,50,0.65,10,56,63,7
丽江,48,8,21,0.7,8,88,94,7
临安,115,31,177,0.85,39,33,42,5
临沧,61,43,41,0.65,11,54,54,10
临汾,66,42,80,1.26,46,37,27,21
临夏州,48,26,47,1.2,32,25,31,19
临沂,143,70,233,1.33,83,9,21,34
林芝,44,7,7,0.5,4,86,87,1
林芝地区,18,4,16,0.35,6,51,35,3
丽水,65,46,57,0.67,32,19,26,9
六盘水,75,54,73,0.92,19,50,63,18
柳州,82,60,88,1.2,41,22,16,18
溧阳,93,55,133,1.2,45,60,52,15
陇南,54,28,56,0.6,41,21,29,17
龙岩,37,23,36,0.6,21,12,13,9
娄底,68,44,84,0.78,32,32,34,6
六安,60,25,68,0.57,61,36,39,5
漯河,72,35,91,0.65,28,51,38,8
洛阳,68,30,83,0.73,58,15,26,17
泸州,113,84,104,0.83,45,7,23,15
吕梁,34,13,33,0.5,31,43,51,11
马鞍山,104,53,156,0.9,92,9,17,28
茂名,65,46,61,0.97,24,30,47,10
眉山,65,46,74,0.83,53,16,22,13
梅州,45,31,40,0.83,24,5,11,8
绵阳,87,64,108,0.57,51,22,13,5
牡丹江,62,42,71,0.54,20,50,34,6
南昌,83,61,110,1.38,75,8,11,7
南充,81,59,79,0.82,32,35,35,8
南京,110,55,168,1.23,93,10,15,20
南宁,92,68,100,1.24,53,5,10,14
南平,54,37,46,0.73,16,50,44,5
南通,103,76,148,1.16,105,6,5,22
南阳,66,34,79,0.94,54,7,12,6
那曲地区,23,16,18,0.7,8,41,37,4
内江,74,53,67,1.02,31,54,54,13
宁波,82,59,112,0.93,63,13,13,19
宁德,38,26,31,0.85,17,32,24,4
怒江州,71,43,89,0.9,33,8,15,8
盘锦,54,12,55,0.67,38,38,56,15
攀枝花,66,46,80,1.22,63,13,23,31
蓬莱,59,11,66,0.4,5,96,89,6
平顶山,76,31,99,0.73,63,24,23,17
平度,0,0,0,0.0,0,0,0,0
平凉,47,17,46,0.45,44,32,34,10
萍乡,61,41,70,1.48,31,15,21,13
普洱,56,39,56,0.45,30,31,35,4
莆田,59,41,47,0.7,27,32,40,5
濮阳,65,9,78,0.57,11,67,46,4
黔东南州,65,46,65,0.6,35,7,10,7
黔南州,77,56,64,0.3,13,25,9,5
黔西南州,74,53,82,0.45,43,8,11,9
青岛,88,42,124,0.73,45,32,40,10
庆阳,55,16,58,0.6,14,71,79,16
